order,ref,book_name,importance,priority_score,themes,reasons,fresh_translation,brenton_translation,review_status,decision,review_notes
134,Ecclesiastes 6:2,Ecclesiastes,medium,9,"theology, anthropology","importance=medium; keywords=glory, god, soul","Man to whom God gives wealth and possessions and glory, and his soul lacks nothing from all he desires, yet God will not empower him to eat from it, because foreign man will eat it; this vanity and evil sickness.",,pending,,
135,Esther 2:12,Esther,medium,9,"anthropology, kingship","importance=medium; keywords=anointed, being, king","And this was time of a girl going in to the king, when she completed twelve months, for thus days of treatment are completed: six months being anointed in oil of myrrh and six months in spices and in cosmetics of the women.",,pending,,
136,Habakkuk 2:4,Habakkuk,medium,9,"anthropology, covenant/law","importance=medium; keywords=faith, righteous, soul","If he shrinks back, my soul takes no pleasure in him; but righteous one will live by my faith.",,pending,,
137,Habakkuk 3:2,Habakkuk,medium,9,"theology, anthropology","importance=medium; keywords=lord, mercy, soul","Lord, I heard your report and feared. I considered your works and was astonished. In midst of two living things you will be known; when years draw near you will be recognized; when time is present you will be shown. When my soul is troubled, in wrath you will remember mercy.",,pending,,
138,Hosea 13:2,Hosea,medium,9,"anthropology, covenant/law, ritual","importance=medium; keywords=image, sacrifice, sin","And they added still to sin and made for themselves molten image from their silver according to likeness of idols, works of craftsmen completed for them. They say, Sacrifice humans, for calves are lacking.",,pending,,
139,Hosea 3:4,Hosea,medium,9,"ritual, kingship","importance=medium; keywords=altar, king, sacrifice",Because many days sons of Israel will sit without king and without ruler and without sacrifice and without altar and without priesthood and without manifestations.,,pending,,
140,Hosea 5:4,Hosea,medium,9,anthropology,"importance=medium; keywords=god, lord, spirit","They did not give their counsels to return to their God, because spirit of whoredom is in them, and they did not know the Lord.",,pending,,
141,Jeremiah 4:10,Jeremiah,medium,9,"anthropology, kingship","importance=medium; keywords=lord, peace, soul","And I said, O Master Lord, then deceiving you deceived this people and Jerusalem, saying, Peace will be to you. And see, sword touched even to their soul.",,pending,,
142,Job 1:1,Job,medium,9,"theology, covenant/law","importance=medium; keywords=god, name, righteous","There was a certain man in land of Ausitis, whose name was Iōb, and that man was true, blameless, righteous, god-fearing, holding back from every evil thing.",,pending,,
143,Job 1:8,Job,medium,9,kingship,"importance=medium; keywords=god, lord, servant","And the Lord said to him, Did you set your mind against my servant Iōb, because there is no man like him on the earth, blameless, true, god-fearing, holding back from every evil thing?",,pending,,
144,Job 2:3,Job,medium,9,kingship,"importance=medium; keywords=god, lord, servant","And the Lord said to the slanderer, Did you then give attention to my servant Iōb, because there is no man like him on the earth, harmless, true, blameless, god-fearing, holding back from every evil, and he still holds fast innocence? Yet you spoke against his possessions to destroy them for nothing.",,pending,,
145,Job 42:17,Job,medium,9,"theology, kingship","importance=medium; keywords=king, lord, name","And Iōb died old and full of days. And it is written that he will rise again with those whom Lord raises up. This man, interpreted from Syriac book, dwelt in land Ausitis on borders of Idumaia and Arabia, and his former name was Iōbab. Taking Arabian wife, he fathered son whose name was Ennon. And he himself was son of Zare, one of sons of Esau, from mother Bosorra, so as to be fifth from Abraham. And these were kings who reigned in Edom, over which he also first ruled: Balak son of Beōr, and name of his city was Dennaba; after Balak, Iōbab called Iōb; after him Asom, ruler from country of Thaimanitis; after him Adad son of Barad, who cut down Madiam in plain of Mōab, and name of his city was Geththaim. And friends coming to him were Eliphas king of sons of Esau from Thaimanites, Baldad tyrant of Sauchites, and Sophar king of Minaians.",,pending,,
146,Joel 3:5,Joel,medium,9,"theology, anthropology","importance=medium; keywords=being, lord, name","And it will be that everyone who calls on name of Lord will be saved, because on mount Zion and in Jerusalem there will be one escaping, as Lord said, and those being brought good news whom Lord has called.",,pending,,
147,Jonah 1:4,Jonah,medium,9,anthropology,"importance=medium; keywords=being, lord, wind","Lord stirred up a wind on sea, and a great surge happened on sea, and ship was in danger of being broken.",,pending,,
148,Jonah 2:8,Jonah,medium,9,"theology, anthropology, ritual","importance=medium; keywords=holy, lord, soul","When my soul was failing from me, I remembered Lord, and may my prayer come to you, into your holy temple.",,pending,,
149,Judges 13:6,Judges,medium,9,theology,"importance=medium; keywords=angel, god, name","And the woman came and said to her husband, saying, A man of God came to me, and his appearance was like the appearance of an angel of God, very glorious, and I asked where he was from, and he did not tell me his name.","And the woman went in, and spoke to her husband, saying, A man of God came to me, and his appearance was as of an angel of God, very dreadful; and I did not ask him whence he was, and he did not tell me his name.",pending,,
150,Judges 13:8,Judges,medium,9,anthropology,"importance=medium; keywords=being, god, lord","And Manōe prayed to the Lord and said, In me, Lord, may the man of God whom you sent to us please come to us again and enlighten us what we should do for the child being born.","And Manoë prayed to the Lord and said, I pray thee, O Lord my Lord, concerning the man of God whom thou sentest; let him now come to us once more, and teach us what we shall do to the child about to be born.",pending,,
151,Judges 2:8,Judges,medium,9,"anthropology, kingship","importance=medium; keywords=being, lord, servant","And Joshua son of Naue, servant of the Lord, died, being one hundred ten years old.","And Joshua the son of Naue, the servant of the Lord, died, a hundred and ten years old.",pending,,
152,Judges 3:10,Judges,medium,9,"anthropology, kingship","importance=medium; keywords=king, lord, spirit","And the Spirit of the Lord came upon him, and he judged Israel and went out to war, and the Lord gave Chousarsathōm king of Syria into his hand, and his hand grew strong over Chousarsathōm.","And the Spirit of the Lord came upon him, and he judged Israel; and he went out to war against Chusarsathaim: and the Lord delivered into his hand Chusarsathaim king of Syria of the rivers, and his hand prevailed against Chusarsathaim.",pending,,
153,Judges 3:15,Judges,medium,9,kingship,"importance=medium; keywords=king, lord, savior","And the sons of Israel cried out to the Lord, and the Lord raised up for them a savior, Aōd son of Gēra, son of the Jeminite, an ambidextrous man. And the sons of Israel sent gifts by his hand to Eglom king of Moab.","And the children of Israel cried to the Lord; and he raised up to them a saviour, Aod the son of Gera a son of Jemeni, a man who used both hands alike: and the children of Israel sent gifts by his hand to Eglom king of Moab.",pending,,
154,Judges 6:34,Judges,medium,9,anthropology,"importance=medium; keywords=god, lord, spirit","And the Spirit of God clothed Gideon, and he sounded the horn, and Abiezer cried out after him.","And the Spirit of the Lord came upon Gedeon, and he blew with the horn, and Abiezer came to help after him.",pending,,
155,Malachi 1:14,Malachi,medium,9,"theology, kingship","importance=medium; keywords=king, lord, name","Cursed is one who had power, and there was a male in his flock, and his vow was on him, yet he sacrifices to Lord a corrupted thing. Because I am great King, says Lord Almighty, and my name is manifest among nations.",,pending,,
156,Malachi 2:13,Malachi,medium,9,ritual,"importance=medium; keywords=altar, lord, sacrifice",This second thing you did: you covered altar of Lord with tears and weeping and groaning from labors. It is no longer worthy to look upon sacrifice or receive what is acceptable from your hands.,,pending,,
157,Malachi 2:15,Malachi,medium,9,"anthropology, kingship","importance=medium; keywords=god, seed, spirit","Did not another make? And remnant of his spirit. And you said, What else but seed does God seek? Guard yourselves in your spirit, and do not abandon wife of your youth.",,pending,,
158,Malachi 2:6,Malachi,medium,9,"theology, covenant/law, kingship","importance=medium; keywords=law, peace, truth","Law of truth was in his mouth, and injustice was not found on his lips. In peace he walked straight with me and turned many from injustice.",,pending,,
159,Malachi 2:8,Malachi,medium,9,covenant/law,"importance=medium; keywords=covenant, law, lord","But you turned aside from way and made many weak in law. You corrupted covenant of Levi, says Lord Almighty.",,pending,,
160,Micah 3:8,Micah,medium,9,"anthropology, covenant/law","importance=medium; keywords=judgment, lord, spirit","Unless I fill with strength in Spirit of Lord and judgment and power, to declare to Jacob his impiety and to Israel his sins.",,pending,,
161,Micah 4:2,Micah,medium,9,covenant/law,"importance=medium; keywords=god, law, lord","And many nations will go and say, Come, let us go up to mountain of Lord and to house of God of Jacob, and they will show us his way and we will walk in his paths, because law will go out from Zion and word of Lord from Jerusalem.",,pending,,
162,Nahum 1:14,Nahum,medium,9,theology,"importance=medium; keywords=god, lord, name","Lord will command concerning you: your name will no longer be sown. From house of your god I will destroy carved and cast images. I will make your grave, because you are swift.",,pending,,
163,Proverbs 10:3,Proverbs,medium,9,"anthropology, covenant/law","importance=medium; keywords=lord, righteous, soul","Lord will not starve righteous soul, but life of ungodly he will overthrow.",,pending,,
164,Proverbs 11:18,Proverbs,medium,9,"theology, anthropology, covenant/law, kingship","importance=medium; keywords=righteous, seed, truth","Ungodly does works unjust, but seed of righteous reward of truth.",,pending,,
165,Proverbs 12:13,Proverbs,medium,9,"theology, covenant/law, ritual","importance=medium; keywords=mercy, righteous, sin","Through sin of lips sinner falls into snares, but righteous escapes them. One seeing gentle things will receive mercy, but one meeting at gates will crush souls.",,pending,,
166,Proverbs 3:9,Proverbs,medium,9,covenant/law,"importance=medium; keywords=lord, righteous, righteousness",Honor Lord from your righteous labors and offer firstfruits to him from fruits of your righteousness.,,pending,,
167,Ruth 2:20,Ruth,medium,9,"theology, covenant/law","importance=medium; keywords=law, lord, mercy","And Noemin said to her daughter-in-law, Blessed is he to the Lord, because he did not forsake his mercy with the living and with the dead. And Noemin said to her, The man is near to us; he is from those redeeming us.","And Noemin said to her daughter-in-law, Blessed is he of the Lord, because he has not failed in his mercy with the living and with the dead: and Noemin said to her, The man is near akin to us, he is one of our relations.",pending,,
168,Zechariah 7:12,Zechariah,medium,9,"anthropology, covenant/law","importance=medium; keywords=law, lord, spirit","And they made their hearts disobedient so as not to hear my law and words that Lord Almighty sent by his Spirit by hand of former prophets, and great wrath came from Lord Almighty.",,pending,,
169,Zephaniah 3:4,Zephaniah,medium,9,"theology, anthropology, covenant/law, ritual","importance=medium; keywords=holy, law, spirit","Her prophets are spirit-borne men, contemptuous; her priests profane holy things and act impiously against law.",,pending,,
170,Amos 4:5,Amos,low,8,covenant/law,"importance=low; keywords=god, law, lord","And they read out law outside and called for confessions. Declare that sons of Israel loved these things, says Lord God.",,pending,,
171,Habakkuk 1:4,Habakkuk,low,8,covenant/law,"importance=low; keywords=judgment, law, righteous","Because of this law has been scattered and judgment does not go forth to the end, because impious one overpowers righteous one; because of this judgment will go forth perverted.",,pending,,
172,Habakkuk 3:18,Habakkuk,low,8,kingship,"importance=low; keywords=god, lord, savior",But I will exult in Lord; I will rejoice in God my savior.,,pending,,
173,Haggai 1:1,Haggai,low,8,"ritual, kingship","importance=low; keywords=king, lord, priest","In second year of Darius king, in sixth month, on first day of month, word of Lord came by hand of Haggai prophet, saying: Speak now to Zerubbabel son of Salathiel from tribe of Judah, and to Jeshua son of Josedek, the great priest, saying,",,pending,,
174,Haggai 1:12,Haggai,low,8,ritual,"importance=low; keywords=god, lord, priest","Zerubbabel son of Salathiel, from tribe of Judah, and Jeshua son of Josedek, the great priest, and all remnant of people, listened to voice of Lord their God and to words of Haggai prophet, because Lord their God sent him to them, and people feared before Lord.",,pending,,
175,Hosea 1:7,Hosea,low,8,theology,"importance=low; keywords=god, lord, mercy","But sons of Judah I will show mercy to and save them in Lord their God, and I will not save them by bow nor by sword nor by war nor by chariots nor by horses nor by horsemen.",,pending,,
176,Job 34:5,Job,low,8,covenant/law,"importance=low; keywords=judgment, lord, righteous","For Iōb said, I am righteous; Lord removed my judgment.",,pending,,
177,Job 9:2,Job,low,8,"theology, covenant/law","importance=low; keywords=lord, righteous, truth",In truth I know that it is so; for how will mortal be righteous before Lord?,,pending,,
178,Joel 1:13,Joel,low,8,ritual,"importance=low; keywords=altar, god, sacrifice","Gird yourselves and beat yourselves, priests; lament, those serving at altar. Enter, sleep in sackcloth, those serving God, because sacrifice and drink offering have been kept back from house of your God.",,pending,,
179,Joel 1:9,Joel,low,8,ritual,"importance=low; keywords=altar, lord, sacrifice","Sacrifice and drink offering were removed from house of Lord. Mourn, priests serving at altar.",,pending,,
180,Joel 2:13,Joel,low,8,theology,"importance=low; keywords=god, lord, mercy","And tear your hearts and not your garments, and return to Lord your God, because he is merciful and compassionate, long-suffering and rich in mercy and repenting over evils.",,pending,,
181,Joel 2:17,Joel,low,8,ritual,"importance=low; keywords=altar, god, lord","Between base of altar the priests serving Lord will weep and say, Spare, Lord, your people, and do not give your inheritance to reproach for nations to rule them, so that they may not say among nations, Where is their God?",,pending,,
182,Jonah 1:9,Jonah,low,8,kingship,"importance=low; keywords=god, lord, servant","He said to them, I am servant of Lord, and I worship Lord God of heaven, who made sea and dry land.",,pending,,
183,Jonah 2:10,Jonah,low,8,"ritual, kingship","importance=low; keywords=lord, sacrifice, salvation","But I, with voice of praise and confession, will sacrifice to you. Whatever I vowed I will repay to you. Salvation belongs to Lord.",,pending,,
184,Jonah 2:3,Jonah,low,8,death/afterlife,"importance=low; keywords=god, hades, lord","He said, I cried in my distress to Lord my God, and he heard me. From belly of Hades you heard voice of my cry.",,pending,,
185,Lamentations 2:6,Lamentations,low,8,"ritual, kingship","importance=low; keywords=king, lord, priest",He spread out his tent like vine. He destroyed his feast. Lord forgot in Zion feast and sabbath and provoked in crash of his anger king and priest and ruler.,,pending,,
186,Lamentations 2:9,Lamentations,low,8,"covenant/law, kingship","importance=low; keywords=king, law, lord","Her gates sank into ground. He destroyed and broke her bars. Her king and her rulers among nations. There is no law, and even her prophets did not see vision from Lord.",,pending,,
187,Micah 4:5,Micah,low,8,theology,"importance=low; keywords=god, lord, name","Because all peoples will walk, each his own way, but we will walk in name of Lord our God forever and beyond.",,pending,,
188,Ruth 1:8,Ruth,low,8,"theology, covenant/law","importance=low; keywords=law, lord, mercy","And Noemin said to her daughters-in-law, Go now, return each to her mother's house. May the Lord deal with you in mercy, as you dealt with the dead and with me.","And Noemin said to her daughters-in-law, Go now, return each to the house of her mother: the Lord deal mercifully with you, as ye have dealt with the dead, and with me.",pending,,
189,Ruth 2:13,Ruth,low,8,"theology, kingship","importance=low; keywords=grace, lord, servant","And she said, May I find favor in your eyes, lord, because you comforted me and because you spoke to the heart of your servant, and behold, I shall be as one of your maidservants.","And she said, Let me find grace in thy sight, my lord, because thou hast comforted me, and because thou hast spoken kindly to thy handmaid, and behold, I shall be as one of thy servants.",pending,,
190,Ruth 3:10,Ruth,low,8,theology,"importance=low; keywords=god, lord, mercy","And he said, Blessed are you to the Lord God, daughter, because you made your latter mercy better than the first, not going after young men, whether poor or rich.","And Booz said, Blessed be thou of the Lord God, my daughter, for thou hast made thy latter kindness greater than the former, in that thou followest not after young men, whether any be poor or rich.",pending,,
191,Ruth 4:12,Ruth,low,8,"anthropology, kingship","importance=low; keywords=lord, seed, servant","And may your house become like the house of Phares, whom Thamar bore to Judah, from the seed that the Lord will give you from this servant girl.","And let thy house be as the house of Phares, whom Thamar bore to Juda, of the seed which the Lord shall give thee of this handmaid.",pending,,
192,Zechariah 1:12,Zechariah,low,8,theology,"importance=low; keywords=angel, lord, mercy","And angel of Lord answered and said, Lord Almighty, how long will you certainly not have mercy on Jerusalem and cities of Judah, which you overlooked this seventieth year?",,pending,,
193,Zechariah 1:17,Zechariah,low,8,theology,"importance=low; keywords=angel, lord, mercy","And angel speaking in me said to me, Cry out, saying, Thus says Lord Almighty: Cities will still overflow with good things, and Lord will still have mercy on Zion and still choose Jerusalem.",,pending,,
194,Zephaniah 1:7,Zephaniah,low,8,ritual,"importance=low; keywords=god, lord, sacrifice","Fear from face of Lord God, because day of Lord is near, because Lord prepared his sacrifice; he consecrated his called ones.",,pending,,
195,Zephaniah 1:8,Zephaniah,low,8,"ritual, kingship","importance=low; keywords=king, lord, sacrifice","It will be in day of Lord's sacrifice, I will avenge upon rulers and upon king's house and upon all wearing foreign garments.",,pending,,
196,Zephaniah 2:3,Zephaniah,low,8,covenant/law,"importance=low; keywords=judgment, lord, righteousness","Seek Lord, all humble of earth; work judgment and seek righteousness and answer these things, so that you may be sheltered in day of Lord's wrath.",,pending,,
197,Zephaniah 3:5,Zephaniah,low,8,covenant/law,"importance=low; keywords=judgment, lord, righteous","But Lord righteous in her midst and will certainly not do injustice. Morning by morning he will give his judgment to light, and it was not hidden; injustice did not know exaction, nor injustice for strife.",,pending,,
198,Ecclesiastes 2:24,Ecclesiastes,medium,7,anthropology,"importance=medium; keywords=god, soul","There is no good in man except that he should eat and drink and show his soul good in his toil; and this too I saw, that it is from hand of God.",,pending,,
199,Ecclesiastes 2:26,Ecclesiastes,medium,7,anthropology,"importance=medium; keywords=god, spirit","Because to man good before his face he gave wisdom and knowledge and gladness, but to sinner he gave distraction, to add and gather in order to give to one good before face of God; because this too vanity and choice of spirit.",,pending,,
200,Ecclesiastes 5:5,Ecclesiastes,medium,7,"covenant/law, ritual","importance=medium; keywords=god, sin","Do not give your mouth to make your flesh sin, and do not say before face of God that it was ignorance, lest God grow angry at your voice and ruin works of your hands.",,pending,,
201,Ecclesiastes 5:7,Ecclesiastes,medium,7,covenant/law,"importance=medium; keywords=judgment, righteousness","If you see slander of poor man and robbery of judgment and righteousness in province, do not marvel over matter, because high one watches over high one, and high ones over them.",,pending,,
202,Ecclesiastes 6:9,Ecclesiastes,medium,7,anthropology,"importance=medium; keywords=soul, spirit",Better sight of eyes than wandering of soul; this too vanity and choice of spirit.,,pending,,
203,Esther 1:20,Esther,medium,7,"covenant/law, kingship","importance=medium; keywords=king, law","And let the law which the king makes be heard in his kingdom, and thus all women will give honor to their husbands, from poor to rich.",,pending,,
204,Esther 4:11,Esther,medium,7,"ritual, kingship","importance=medium; keywords=king, salvation","all nations of the kingdom know that every man or woman who enters to the king in the inner court uncalled has no salvation, except the one to whom the king stretches out the golden scepter, that one will be saved. And I have not been called to go in to the king these thirty days.",,pending,,
205,Esther 4:8,Esther,medium,7,kingship,"importance=medium; keywords=king, lord","And he gave him copy of the notice posted in Sousa for their destruction, to show Esther, and he told him to command her, after going in, to plead with the king and urge him for the people, remembering days of your humiliation, how you were nourished in my hand, because Aman, the second to the kingdom, has spoken against us for death. Call upon the Lord and speak to the king concerning us and rescue us from death.",,pending,,
206,Esther 8:8,Esther,medium,7,"theology, kingship","importance=medium; keywords=king, name","Write also yourselves in my name as seems good to you, and seal it with my ring. For whatever is written when the king commands and sealed with my ring, there is no speaking against it.",,pending,,
207,Habakkuk 1:2,Habakkuk,medium,7,anthropology,"importance=medium; keywords=being, lord","How long, Lord, will I cry out and you certainly not hear? I will shout to you while being wronged, and you will not save.",,pending,,
208,Jonah 1:14,Jonah,medium,7,covenant/law,"importance=medium; keywords=lord, righteous","They cried to Lord and said, By no means, Lord, let us not perish for life of this man, and do not put righteous blood on us, because you, Lord, have done as you wished.",,pending,,
209,Lamentations 1:11,Lamentations,medium,7,anthropology,"importance=medium; keywords=lord, soul","All her people groaning seek bread. They gave their desirable things for food, to restore soul. See, Lord, and look, because I became dishonored.",,pending,,
210,Lamentations 1:15,Lamentations,medium,7,textual/lexical,"importance=medium; keywords=lord, virgin",Lord took away all my mighty ones from midst of me. He called time against me to crush my chosen ones. Lord trod winepress for virgin daughter Judah. Over these things I weep.,,pending,,
211,Lamentations 2:5,Lamentations,medium,7,anthropology,"importance=medium; keywords=being, lord",Lord became like enemy. He sank Israel. He sank all her palaces. He destroyed his strongholds and multiplied for daughter Judah humiliation and being humbled.,,pending,,
212,Lamentations 3:17,Lamentations,medium,7,"anthropology, kingship","importance=medium; keywords=peace, soul",And he thrust my soul away from peace. I forgot good things.,,pending,,
213,Ruth 1:13,Ruth,medium,7,anthropology,"importance=medium; keywords=being, lord","would you wait for them until they grow up? Or would you be restrained on account of them from becoming a husband? No, my daughters, because it has become very bitter for me concerning you, because the hand of the Lord has gone out against me.","would ye wait for them till they should be grown? or would ye refrain from being married for their sakes? Not so, my daughters; for I am grieved for you, that the hand of the Lord has gone forth against me.",pending,,
214,Song of Solomon 1:7,Song of Solomon,medium,7,"anthropology, kingship","importance=medium; keywords=shepherd, soul","Tell me, you whom my soul loved, where do you shepherd, where do you rest at noon, lest I become as one veiled over flocks of your companions?",,pending,,
215,Song of Solomon 5:6,Song of Solomon,medium,7,"anthropology, kingship","importance=medium; keywords=beloved, soul","I opened, I, to my beloved; my beloved passed by. My soul went out at his word. I sought him and did not find him; I called him and he did not listen to me.",,pending,,
216,Esther 1:8,Esther,low,6,"covenant/law, kingship","importance=low; keywords=king, law","And this drinking was not according to fixed law, for thus the king willed, and he ordered the stewards to do his pleasure and that of the men.",,pending,,
217,Haggai 1:13,Haggai,low,6,theology,"importance=low; keywords=lord, messenger","Haggai messenger of Lord said to people, I am with you, says Lord.",,pending,,
218,Haggai 2:4,Haggai,low,6,ritual,"importance=low; keywords=lord, priest","But now be strong, Zerubbabel, says Lord, and be strong, Jeshua son of Josedek, the great priest, and let all people of land be strong, says Lord, and act, because I am with you, says Lord Almighty.",,pending,,
219,Nahum 1:2,Nahum,low,6,,"importance=low; keywords=god, lord","God jealous and avenging, Lord avenging with wrath; Lord avenges his adversaries, and he removes his enemies.",,pending,,
220,Nahum 3:5,Nahum,low,6,,"importance=low; keywords=god, lord","Behold, I am against you, says Lord God Almighty, and I will uncover your backside to your face and show nations your shame and kingdoms your dishonor.",,pending,,
221,Obadiah 1:1,Obadiah,low,6,,"importance=low; keywords=god, lord","Vision of Obadiah. Thus says Lord God to Idumea: I heard a report from Lord, and he sent a message to nations: Rise, and let us rise against her for war.",,pending,,
222,Obadiah 1:17,Obadiah,low,6,"theology, ritual, kingship","importance=low; keywords=holy, salvation","But on mount Zion there will be salvation, and it will be holy, and house of Jacob will inherit those who inherited them.",,pending,,
223,Song of Solomon 6:2,Song of Solomon,low,6,kingship,"importance=low; keywords=beloved, shepherd","My beloved went down into his garden, into bowls of spice, to shepherd in gardens and gather lilies.",,pending,,
224,Zephaniah 1:1,Zephaniah,low,6,kingship,"importance=low; keywords=king, lord","Word of Lord that came to Zephaniah son of Cushi, son of Godolias, son of Amarias, son of Hezekias, in days of Josiah son of Amon king of Judah.",,pending,,
225,Nahum 1:12,Nahum,medium,5,textual/lexical,importance=medium; keywords=lord,"Thus says Lord, ruling many waters: Thus they will be scattered, and your report will no longer be heard.",,pending,,
226,Nahum 2:14,Nahum,medium,5,textual/lexical,importance=medium; keywords=lord,"Behold, I am against you, says Lord Almighty, and I will burn your multitude in smoke, and sword will devour your lions, and I will destroy your prey from earth, and your works will no longer be heard.",,pending,,
227,Song of Solomon 2:3,Song of Solomon,medium,5,kingship,importance=medium; keywords=beloved,"As apple tree among trees of grove, so my beloved in midst of sons. In his shadow I desired and sat, and his fruit sweet in my throat.",,pending,,
228,Song of Solomon 2:9,Song of Solomon,medium,5,kingship,importance=medium; keywords=beloved,"My beloved is like gazelle or fawn of deer on mountains of Bethel. Look, he stands behind our wall, peering through windows, looking through nets.",,pending,,
229,Song of Solomon 3:1,Song of Solomon,medium,5,anthropology,importance=medium; keywords=soul,On my bed in nights I sought one my soul loved; I sought him and did not find him; I called him and he did not listen to me.,,pending,,
230,Nahum 1:3,Nahum,low,4,,importance=low; keywords=lord,"Lord long-suffering, and great his strength, and acquitting he will not acquit. Lord's way is in completion and in upheaval, and clouds are dust of his feet.",,pending,,
231,Obadiah 1:15,Obadiah,low,4,,importance=low; keywords=lord,"Because day of Lord is near upon all nations. As you did, so it will be to you; your repayment will be returned on your head.",,pending,,
232,Obadiah 1:4,Obadiah,low,4,,importance=low; keywords=lord,"If you soar high like eagle and set your nest among stars, from there I will bring you down, says Lord.",,pending,,
233,Obadiah 1:7,Obadiah,low,4,covenant/law,importance=low; keywords=covenant,"To your borders they sent you away, all men of your covenant. Your peaceful men opposed you and prevailed against you. They set ambush under you; there is no understanding in them.",,pending,,
234,Obadiah 1:8,Obadiah,low,4,,importance=low; keywords=lord,"In that day, says Lord, I will destroy wise men from Idumea and understanding from mount of Esau.",,pending,,
